update,episodes,env_steps,mean_ep_reward,mean_ep_coverage,coverage_ratio,mean_ep_length,completion_rate,timeout_rate,collision_end_rate,wall_collision_rate,robot_collision_rate,human_collision_rate,wall_collisions_per_episode,robot_collisions_per_episode,human_collisions_per_episode,guide_hits_per_episode,guide_hit_rate,actor_loss,critic_loss,entropy,std
2190,2935,28032000,-6329.5669,0.9738,0.707,3998.6,0.05,0.95,0.0,0.001667,0.000104,0.017578,1.9667,0.0,60.3334,236.4323,0.059401,-0.0015,2.643,-15.0927,1.4295
2200,2961,28160000,-7078.1055,0.9704,0.7999,4000.0,0.0,1.0,0.0,0.00026,0.0,0.010755,5.2833,0.0,61.6333,231.549,0.056745,-0.001,1.53,-15.0015,1.4302
2210,2997,28288000,-5892.5386,0.9734,0.764,3985.0,0.05,0.95,0.0,0.000521,0.000156,0.026849,2.3667,0.1667,56.6,230.2323,0.058958,-0.0015,3.5721,-15.1461,1.4309
2220,3030,28416000,-8317.4248,0.9828,0.729,4000.0,0.0,1.0,0.0,0.000651,5.2e-05,0.020443,2.3333,0.4,73.6166,237.1823,0.057786,-0.0014,2.8049,-15.3103,1.4317
2230,3059,28544000,-6231.6851,0.9794,0.7884,4000.0,0.0,1.0,0.0,0.000703,0.0,0.016823,2.5833,0.1667,59.5834,237.0656,0.056589,-0.001,2.3962,-15.3857,1.4316
2240,3094,28672000,-8865.9697,0.9704,0.7458,4000.0,0.0,1.0,0.0,0.00112,0.0,0.019766,3.1333,0.1667,75.2334,226.8491,0.059583,-0.0009,2.8653,-15.3217,1.432
2250,3124,28800000,-5113.7979,0.9781,0.7756,4000.0,0.0,1.0,0.0,7.8e-05,0.0,0.018437,2.45,0.0333,51.7666,234.7157,0.057031,-0.0011,2.4691,-15.4448,1.4313
2260,3157,28928000,-6480.3232,0.9721,0.7738,4000.0,0.0,1.0,0.0,0.000365,0.0,0.01263,1.3833,0.1,61.5667,233.1823,0.056875,-0.0012,1.8152,-15.1999,1.4314
2270,3189,29056000,-5364.0444,0.9703,0.7583,4000.0,0.0,1.0,0.0,0.000156,0.0,0.023333,2.0667,0.1,53.2167,226.2324,0.05776,-0.0009,3.2389,-15.4231,1.4323
2280,3222,29184000,-6662.2437,0.9698,0.7188,4000.0,0.0,1.0,0.0,0.000365,0.0,0.008437,1.7833,0.0,62.3334,228.3157,0.056302,-0.0014,1.384,-15.3052,1.4328
2290,3256,29312000,-7172.2256,0.9659,0.6981,4000.0,0.0,1.0,0.0,0.000495,0.0,0.014401,1.2333,0.0333,65.95,229.2491,0.056615,-0.0008,2.064,-15.5052,1.4337
2300,3287,29440000,-6321.7632,0.9605,0.7046,4000.0,0.0,1.0,0.0,0.000312,0.0,0.015026,2.65,0.1667,58.45,222.5658,0.059271,-0.0009,2.1384,-15.3564,1.4343
2310,3315,29568000,-5343.437,0.9586,0.7688,4000.0,0.0,1.0,0.0,0.000651,0.0,0.027891,1.0667,0.0,53.8,227.4824,0.058047,-0.0013,3.4899,-15.4025,1.4348
2320,3351,29696000,-7475.2217,0.9635,0.7252,4000.0,0.0,1.0,0.0,0.000339,0.0,0.015417,1.3833,0.0,67.8833,226.2824,0.060234,-0.0008,2.1928,-15.4741,1.4352
2330,3383,29824000,-6162.2324,0.9682,0.706,4000.0,0.0,1.0,0.0,0.000339,0.0,0.014948,1.5333,0.0667,59.7,229.0657,0.056302,-0.0004,2.1625,-15.3548,1.4353
2340,3410,29952000,-8650.6895,0.9674,0.7918,4000.0,0.0,1.0,0.0,0.000729,0.0,0.01875,1.0333,0.0,76.1333,224.4657,0.05362,-0.0007,2.6258,-15.3306,1.4358
2350,3445,30080000,-7352.7842,0.9577,0.7541,4000.0,0.0,1.0,0.0,0.000156,0.0,0.008307,1.8333,0.0,66.6334,223.9157,0.056927,-0.0006,1.32,-15.1883,1.4363
2360,3475,30208000,-6494.9404,0.9638,0.7727,4000.0,0.0,1.0,0.0,0.000182,0.0,0.01138,0.8833,0.0,62.0,221.1491,0.0575,-0.0006,1.6256,-15.377,1.4367
2370,3508,30336000,-6089.96,0.968,0.7969,4000.0,0.0,1.0,0.0,0.000469,0.0,0.020833,1.15,0.0,59.55,228.449,0.060859,-0.0007,2.682,-15.4663,1.4371
2380,3542,30464000,-3622.5444,0.9858,0.7731,3931.9,0.25,0.75,0.0,0.000443,0.0,0.008776,2.3,0.1667,42.5667,231.5323,0.059948,-0.0005,1.3419,-15.3915,1.4375
2390,3574,30592000,-6862.5757,0.9878,0.7433,3993.1,0.05,0.95,0.0,0.000286,0.0,0.030495,2.3667,0.0,64.7,236.9989,0.05612,-0.0005,3.9041,-15.2104,1.4376
2400,3607,30720000,-8130.8086,0.9857,0.7741,3976.8,0.15,0.85,0.0,0.000286,0.0,0.014323,1.1333,0.0333,74.1168,231.1823,0.059271,-0.0005,1.972,-15.3025,1.4375
2410,3640,30848000,-6382.7407,0.9926,0.762,3898.6,0.25,0.75,0.0,0.000286,0.0,0.019453,1.4167,0.0667,62.9333,235.5656,0.060755,-0.0003,2.7162,-15.345,1.4377
2420,3672,30976000,-5295.6685,0.9887,0.7167,3970.4,0.2,0.8,0.0,0.000312,0.0,0.010156,2.1333,0.0,54.6166,236.3322,0.058255,-0.0004,1.6077,-15.5222,1.4381
2430,3703,31104000,-5140.2939,0.9866,0.8018,3934.8,0.15,0.85,0.0,0.000625,0.0,0.017786,1.0667,0.0667,54.2334,232.149,0.063542,-0.0006,2.4386,-15.6124,1.438
2440,3738,31232000,-5449.6221,0.9936,0.7864,3881.2,0.35,0.65,0.0,0.000286,0.000365,0.018594,1.9333,0.2333,57.2333,243.9988,0.063802,-0.0003,2.4514,-15.674,1.438
2450,3773,31360000,-4162.9355,0.9979,0.711,3762.9,0.65,0.35,0.0,0.000339,5.2e-05,0.014687,1.7667,0.6,48.6667,238.649,0.062943,-0.0003,2.2101,-15.5913,1.4378
2460,3806,31488000,-6039.4683,0.9922,0.7221,3819.8,0.4,0.6,0.0,0.000469,0.0,0.003984,2.25,0.1333,60.1666,232.4823,0.062161,-0.0003,0.8741,-15.6663,1.4378
2470,3837,31616000,-5366.5693,0.9785,0.7701,3981.4,0.1,0.9,0.0,0.000521,0.0,0.014245,1.6167,0.1667,55.0834,235.3656,0.056927,-0.0002,2.0608,-15.5321,1.4379
2480,3865,31744000,-5091.2119,0.9803,0.8026,4000.0,0.0,1.0,0.0,0.000286,0.000156,0.011198,1.5,0.1667,53.3333,239.9822,0.056484,-0.0001,1.6183,-15.4999,1.438
2490,3899,31872000,-7034.9971,0.9792,0.7832,3997.6,0.05,0.95,0.0,0.000625,0.0,0.01112,1.2833,0.1333,66.3334,234.6989,0.05737,-0.0001,1.7058,-15.5199,1.438
2500,3935,32000000,-7921.2485,0.9798,0.7509,4000.0,0.0,1.0,0.0,0.000391,0.0,0.017604,4.6167,0.4333,68.4334,231.999,0.061823,-0.0,2.4048,-15.5876,1.438
