policy,episodes,success_coverage_rate_pct,rrcr_pct,rwcr_pct,rhcr_pct,tor_pct,avg_success_completion_time_seconds,steps_mean,steps_std,steps_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95,covered_cells_mean,covered_cells_std,covered_cells_ci95,completion_mean,completion_std,completion_ci95,timeout_mean,timeout_std,timeout_ci95,collision_end_mean,collision_end_std,collision_end_ci95,team_return_mean,team_return_std,team_return_ci95,wall_collisions_mean,wall_collisions_std,wall_collisions_ci95,robot_collisions_mean,robot_collisions_std,robot_collisions_ci95,human_collisions_mean,human_collisions_std,human_collisions_ci95,all_collisions_mean,all_collisions_std,all_collisions_ci95,wall_collision_rate_mean,wall_collision_rate_std,wall_collision_rate_ci95,robot_collision_rate_mean,robot_collision_rate_std,robot_collision_rate_ci95,human_collision_rate_mean,human_collision_rate_std,human_collision_rate_ci95,all_collision_rate_mean,all_collision_rate_std,all_collision_rate_ci95,completion_time_steps_mean,completion_time_steps_std,completion_time_steps_ci95,completion_time_seconds_mean,completion_time_seconds_std,completion_time_seconds_ci95
Plain BOSCO (0 humans),1000,0.0,19.4,80.6,0.0,0.0,nan,4000.0,0.0,0.0,0.1959453178998083,0.14795623015936518,0.009170422153787553,75.243,56.81519089923853,3.5214420152017305,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-243790.9211511824,135313.84743754636,8386.83915451843,5268.035,3198.557738635084,198.24866256023057,1423.181,2948.688161897611,182.76158574296682,0.0,0.0,0.0,6691.216,3178.8192999108155,197.02526145327317,0.4390029166666667,0.2665464782195903,0.016520721880019212,0.11859841666666666,0.24572401349146764,0.015230132145247238,0.0,0.0,0.0,0.5576013333333333,0.26490160832590126,0.016418771787772762,,,,,,
BOSCO MARL (trained: 0 humans),1000,32.0,2.5,0.7,64.8,0.0,255.91875,3538.94,767.9167810268132,47.595975197586284,0.846557305291295,0.21443962239561218,0.01329110549618911,325.078,82.34481516516135,5.103784520778689,0.32,0.4667095647378761,0.028926958515006873,0.68,0.4667095647378761,0.028926958515006873,0.0,0.0,0.0,-709307.6000314286,390866.0406206091,24226.128188111164,301.198,701.3366594624197,43.46929650931251,432.406,1167.0336030271772,72.33349211376564,4483.451,2567.4935861485446,159.13490115802156,5217.055,2815.608758093648,174.51323883968197,0.026421831821883096,0.059953905107246394,0.0037159815373058033,0.036766951074663094,0.09790424089763576,0.006068167718996205,0.39297881545823005,0.197171255034177,0.012220800998430025,0.45616759835477616,0.21319665559695575,0.013214065615850555,2559.1875,656.2499111807673,71.90355116979136,255.91875,65.62499111807674,7.190355116979136
BOSCO MARL (trained: 8 humans),1000,99.6,0.0,0.3,0.1,0.0,260.14236947791164,2607.018,317.0232284918621,19.649303274999713,0.9998932293057442,0.001955522253365639,0.00012120452498129368,383.959,0.7509213559906812,0.04654258784041649,0.996,0.06315051850925683,0.003914109688633504,0.004,0.06315051850925683,0.003914109688633504,0.0,0.0,0.0,-3591.6721115606706,4895.69198792586,303.4381331278721,18.212,94.66896676984105,5.867643351058824,0.044,0.6917676940581589,0.04287620588894767,3.064,17.930460267528144,1.1113414412346034,21.32,97.97942420512364,6.07282762867246,0.0021687885073121134,0.009287711987655026,0.0005756583529997351,4.781967850757443e-06,7.339253344638021e-05,4.548916351236715e-06,0.0003756054726170757,0.0021627339660238313,0.0001340476399906326,0.0025491759477799464,0.009760556172232685,0.0006049655391916921,2601.4236947791164,305.08332694973154,18.94719286643582,260.14236947791164,30.50833269497316,1.8947192866435827
